"source","kind","visible_text","target","status_code","method","final_url","content_type","title","verdict","notes","bibliography_entry"
"1","url","https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en","https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en","200","HEAD","https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en","text/html; charset=UTF-8","","ok","","European Commission. Electricity market design. https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en"
"2","url","https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en","https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en","200","HEAD","https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en","text/html; charset=UTF-8","","ok","","European Commission. EU electricity trading in the day-ahead markets becomes more dynamic. https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en"
"3","url","https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","200","HEAD","https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","text/html; charset=UTF-8","","ok","","NEURC. Resolution No. 621 of 23 April 2026 on price caps for the day-ahead, intraday, and balancing markets. https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku"
"4","url","https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","200","HEAD","https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","text/html; charset=windows-1251","","ok","","JSC Market Operator. The Market Operator tariff for 2026 amounts to UAH 6.88 per MWh. https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english"
"5","url","https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA","https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA","200","HEAD","https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA","text/html; charset=utf-8","","ok","","Ministry of Economy of Ukraine. The Government approved the National Energy and Climate Plan until 2030. https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA"
"6","url","https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf","https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf","200","HEAD","https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf","application/pdf","","ok","","Ukraine National Energy and Climate Plan to 2030. https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf"
"7","url","https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/","https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/","200","HEAD","https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/","text/html; charset=UTF-8","","ok","","ENTSO-E. Continental Europe successful synchronization with Ukraine and Moldova power systems. https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/"
"8","url","https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","200","HEAD","https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","text/html; charset=UTF-8","","ok","","ACER. ACER will decide on the electricity market coupling integration plan for the Energy Community. https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community"
"9","doi_label","DOI: 10.1016/j.apenergy.2022.119512","https://doi.org/10.1016/j.apenergy.2022.119512","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S0306261922008340","text/html; charset=UTF-8","","ok","","Hu et al. Potential utilization of battery energy storage systems (BESS) in the major European electricity markets. DOI: 10.1016/j.apenergy.2022.119512. https://doi.org/10.1016/j.apenergy.2022.119512"
"9","url","https://doi.org/10.1016/j.apenergy.2022.119512","https://doi.org/10.1016/j.apenergy.2022.119512","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S0306261922008340","text/html; charset=UTF-8","","ok","","Hu et al. Potential utilization of battery energy storage systems (BESS) in the major European electricity markets. DOI: 10.1016/j.apenergy.2022.119512. https://doi.org/10.1016/j.apenergy.2022.119512"
"10","doi_label","DOI: 10.1109/TEMPR.2024.3372656","https://doi.org/10.1109/TEMPR.2024.3372656","200","HEAD","https://ieeexplore.ieee.org/document/10458427/","text/html; charset=UTF-8","","ok","","Li et al. Temporal-Aware Deep Reinforcement Learning for Energy Storage Bidding in Energy and Contingency Reserve Markets. DOI: 10.1109/TEMPR.2024.3372656. https://doi.org/10.1109/TEMPR.2024.3372656"
"10","url","https://doi.org/10.1109/TEMPR.2024.3372656","https://doi.org/10.1109/TEMPR.2024.3372656","200","HEAD","https://ieeexplore.ieee.org/document/10458427/","text/html; charset=UTF-8","","ok","","Li et al. Temporal-Aware Deep Reinforcement Learning for Energy Storage Bidding in Energy and Contingency Reserve Markets. DOI: 10.1109/TEMPR.2024.3372656. https://doi.org/10.1109/TEMPR.2024.3372656"
"11","doi_label","DOI: 10.1016/j.apenergy.2021.116983","https://doi.org/10.1016/j.apenergy.2021.116983","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S0306261921004529","text/html; charset=UTF-8","","ok","","Lago et al. Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark. DOI: 10.1016/j.apenergy.2021.116983. https://doi.org/10.1016/j.apenergy.2021.116983"
"11","url","https://doi.org/10.1016/j.apenergy.2021.116983","https://doi.org/10.1016/j.apenergy.2021.116983","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S0306261921004529","text/html; charset=UTF-8","","ok","","Lago et al. Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark. DOI: 10.1016/j.apenergy.2021.116983. https://doi.org/10.1016/j.apenergy.2021.116983"
"12","doi_label","DOI: 10.1287/mnsc.2020.3922","https://doi.org/10.1287/mnsc.2020.3922","403","GET","https://pubsonline.informs.org/doi/10.1287/mnsc.2020.3922","text/html; charset=UTF-8","Just a moment...","needs-human","HEAD returned 403; tried GET fallback","Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. https://doi.org/10.1287/mnsc.2020.3922"
"12","url","https://doi.org/10.1287/mnsc.2020.3922","https://doi.org/10.1287/mnsc.2020.3922","403","GET","https://pubsonline.informs.org/doi/10.1287/mnsc.2020.3922","text/html; charset=UTF-8","Just a moment...","needs-human","HEAD returned 403; tried GET fallback","Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. https://doi.org/10.1287/mnsc.2020.3922"
"13","doi_label","DOI: 10.1109/TSG.2022.3166791","https://doi.org/10.1109/TSG.2022.3166791","200","HEAD","https://ieeexplore.ieee.org/document/9755891/","text/html; charset=UTF-8","","ok","","Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. https://doi.org/10.1109/TSG.2022.3166791"
"13","url","https://doi.org/10.1109/TSG.2022.3166791","https://doi.org/10.1109/TSG.2022.3166791","200","HEAD","https://ieeexplore.ieee.org/document/9755891/","text/html; charset=UTF-8","","ok","","Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. https://doi.org/10.1109/TSG.2022.3166791"
"14","doi_label","DOI: 10.1613/jair.1.15320","https://doi.org/10.1613/jair.1.15320","200","HEAD","https://www.jair.org/index.php/jair/article/view/15320","text/html; charset=utf-8","","ok","","Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. https://arxiv.org/abs/2307.13565"
"14","url","https://arxiv.org/abs/2307.13565","https://arxiv.org/abs/2307.13565","200","HEAD","https://arxiv.org/abs/2307.13565","text/html; charset=utf-8","","ok","","Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. https://arxiv.org/abs/2307.13565"
"15","doi_label","DOI: 10.1016/j.ijforecast.2022.03.001","https://doi.org/10.1016/j.ijforecast.2022.03.001","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S0169207022000413","text/html; charset=UTF-8","","ok","","Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI: 10.1016/j.ijforecast.2022.03.001. https://arxiv.org/abs/2104.05522"
"15","url","https://arxiv.org/abs/2104.05522","https://arxiv.org/abs/2104.05522","200","HEAD","https://arxiv.org/abs/2104.05522","text/html; charset=utf-8","","ok","","Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI: 10.1016/j.ijforecast.2022.03.001. https://arxiv.org/abs/2104.05522"
"16","doi_label","DOI: 10.48550/arXiv.1912.09363","https://doi.org/10.48550/arXiv.1912.09363","200","HEAD","https://arxiv.org/abs/1912.09363","text/html; charset=utf-8","","ok","","Lim et al. Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting. DOI: 10.48550/arXiv.1912.09363. https://arxiv.org/abs/1912.09363"
"16","url","https://arxiv.org/abs/1912.09363","https://arxiv.org/abs/1912.09363","200","HEAD","https://arxiv.org/abs/1912.09363","text/html; charset=utf-8","","ok","","Lim et al. Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting. DOI: 10.48550/arXiv.1912.09363. https://arxiv.org/abs/1912.09363"
"17","doi_label","DOI: 10.3390/en10020207","https://doi.org/10.3390/en10020207","403","GET","https://www.mdpi.com/1996-1073/10/2/207","text/html","Access Denied","needs-human","HEAD returned 403; tried GET fallback","Park et al. Linear Formulation for Short-Term Operational Scheduling of Energy Storage Systems in Power Grids. DOI: 10.3390/en10020207. https://doi.org/10.3390/en10020207"
"17","url","https://doi.org/10.3390/en10020207","https://doi.org/10.3390/en10020207","403","GET","https://www.mdpi.com/1996-1073/10/2/207","text/html","Access Denied","needs-human","HEAD returned 403; tried GET fallback","Park et al. Linear Formulation for Short-Term Operational Scheduling of Energy Storage Systems in Power Grids. DOI: 10.3390/en10020207. https://doi.org/10.3390/en10020207"
"18","doi_label","DOI: 10.3390/en12060999","https://doi.org/10.3390/en12060999","403","GET","https://www.mdpi.com/1996-1073/12/6/999","text/html","Access Denied","needs-human","HEAD returned 403; tried GET fallback","Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999"
"18","url","https://doi.org/10.3390/en12060999","https://doi.org/10.3390/en12060999","403","GET","https://www.mdpi.com/1996-1073/12/6/999","text/html","Access Denied","needs-human","HEAD returned 403; tried GET fallback","Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999"
