"source","kind","text","target","expected_start","expected_end","actual_anchor_matches","verdict"
"1","url","https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en","https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en","89876","89961","1","ok"
"2","url","https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en","https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en","90057","90165","1","ok"
"3","url","https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","90279","90401","1","ok"
"4","url","https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","90492","90554","1","ok"
"5","url","https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA","https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA","90664","90744","1","ok"
"6","url","https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf","https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf","90799","90871","1","ok"
"7","url","https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/","https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/","90971","91094","1","ok"
"8","url","https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","91200","91310","1","ok"
"9","doi_label","DOI: 10.1016/j.apenergy.2022.119512","https://doi.org/10.1016/j.apenergy.2022.119512","91431","91466","1","ok"
"9","url","https://doi.org/10.1016/j.apenergy.2022.119512","https://doi.org/10.1016/j.apenergy.2022.119512","91468","91514","1","ok"
"10","doi_label","DOI: 10.1109/TEMPR.2024.3372656","https://doi.org/10.1109/TEMPR.2024.3372656","91643","91674","1","ok"
"10","url","https://doi.org/10.1109/TEMPR.2024.3372656","https://doi.org/10.1109/TEMPR.2024.3372656","91676","91718","1","ok"
"11","doi_label","DOI: 10.1016/j.apenergy.2021.116983","https://doi.org/10.1016/j.apenergy.2021.116983","91864","91899","1","ok"
"11","url","https://doi.org/10.1016/j.apenergy.2021.116983","https://doi.org/10.1016/j.apenergy.2021.116983","91901","91947","1","ok"
"12","doi_label","DOI: 10.1287/mnsc.2020.3922","https://doi.org/10.1287/mnsc.2020.3922","92008","92035","1","ok"
"12","url","https://doi.org/10.1287/mnsc.2020.3922","https://doi.org/10.1287/mnsc.2020.3922","92037","92075","1","ok"
"13","doi_label","DOI: 10.1109/TSG.2022.3166791","https://doi.org/10.1109/TSG.2022.3166791","92188","92217","1","ok"
"13","url","https://doi.org/10.1109/TSG.2022.3166791","https://doi.org/10.1109/TSG.2022.3166791","92238","92278","1","ok"
