path,line,issue,detail
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-1 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-2 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-3 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-4 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-5 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-6 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-7 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-8 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-9 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-10 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-11 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-12 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-13 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-14 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-15 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-16 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-17 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-18 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-19 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-20 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-21 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-22 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-23 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-24 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-25 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-26 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-27 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-28 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-29 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-30 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-31 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-32 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-33 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-34 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-35 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-36 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-37 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-38 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-39 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-40 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-41 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-42 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-43 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-44 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-45 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-46 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-47 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-48 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-49 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-50 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-51 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-52 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-53 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-54 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-55 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-56 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-57 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-58 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-59 is cited but absent
docs\thesis\chapters\02-literature-review.md,1,missing-source-anchor,source-60 is cited but absent
