run_slug,source_model_name,training_window_indices,evaluation_window_index,min_predicted_improvement_uah,seeds,seed_delta_mean_uah,seed_delta_std_uah,seed_delta_min_uah,seed_delta_max_uah,seed_switch_count_min,seed_switch_count_max,train_candidate_row_count,evaluation_candidate_row_count,content_overlap_candidate_row_count,content_overlap_ratio,independent_holdout,profile_date_row_count,distinct_market_date_count,selector_mean_regret_uah,v2_plus_mean_regret_uah,selector_minus_v2_plus_mean_regret_uah,non_v2_plus_switch_count,abstention_count,distinct_switch_date_count,observed_tail_loss_count,date_win_count,date_tie_count,date_loss_count,bootstrap_ci_low_uah,bootstrap_ci_high_uah
rf_safe_switch_temporal_suite_calibrated_w1_t0,nbeatsx_official_global_panel_horizon_calibrated_v1,"4,3,2",1,0.0,42,0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,174.7683983151615,174.7683983151615,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_calibrated_w1_t5,nbeatsx_official_global_panel_horizon_calibrated_v1,"4,3,2",1,5.0,42,0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,174.7683983151615,174.7683983151615,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_calibrated_w1_t10,nbeatsx_official_global_panel_horizon_calibrated_v1,"4,3,2",1,10.0,42,0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,174.7683983151615,174.7683983151615,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_calibrated_w1_t20,nbeatsx_official_global_panel_horizon_calibrated_v1,"4,3,2",1,20.0,"42,2026,7",0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,174.7683983151615,174.7683983151615,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_calibrated_w1_t50,nbeatsx_official_global_panel_horizon_calibrated_v1,"4,3,2",1,50.0,42,0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,174.7683983151615,174.7683983151615,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_calibrated_w2_t20_seeds3,nbeatsx_official_global_panel_horizon_calibrated_v1,"4,3",2,20.0,"42,2026,7",0.0,0.0,0.0,0.0,0,0,720,360,0,0.0,True,90,18,226.1248911262654,226.1248911262654,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_calibrated_w3_t20_seeds3,nbeatsx_official_global_panel_horizon_calibrated_v1,4,3,20.0,"42,2026,7",112.88938602915249,7.2108417055680345,107.49945292313163,123.08140686958836,36,43,360,360,0,0.0,True,90,18,516.3491161941115,393.26770932452314,123.08140686958836,43,47,14,19,1,6,11,49.97729195096794,202.097311600516
rf_safe_switch_temporal_suite_raw_w1_t0,nbeatsx_official_global_panel_v1,"4,3,2",1,0.0,42,0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,193.35903850044008,193.35903850044008,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_raw_w1_t5,nbeatsx_official_global_panel_v1,"4,3,2",1,5.0,42,0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,193.35903850044008,193.35903850044008,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_raw_w1_t10,nbeatsx_official_global_panel_v1,"4,3,2",1,10.0,42,0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,193.35903850044008,193.35903850044008,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_raw_w1_t20,nbeatsx_official_global_panel_v1,"4,3,2",1,20.0,"42,2026,7",0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,193.35903850044008,193.35903850044008,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_raw_w1_t50,nbeatsx_official_global_panel_v1,"4,3,2",1,50.0,42,0.0,0.0,0.0,0.0,0,0,1080,360,0,0.0,True,90,18,193.35903850044008,193.35903850044008,0.0,0,90,0,0,0,18,0,0.0,0.0
rf_safe_switch_temporal_suite_raw_w2_t20_seeds3,nbeatsx_official_global_panel_v1,"4,3",2,20.0,"42,2026,7",65.17607371201592,0.0,65.17607371201592,65.17607371201592,5,5,720,360,0,0.0,True,90,18,344.1976633379648,279.0215896259489,65.17607371201592,5,85,1,4,0,17,1,0.0,195.5282211360478
rf_safe_switch_temporal_suite_raw_w3_t20_seeds3,nbeatsx_official_global_panel_v1,4,3,20.0,"42,2026,7",96.44128813275779,0.0,96.44128813275779,96.44128813275779,8,9,360,360,0,0.0,True,90,18,507.9378948288478,411.49660669609,96.44128813275779,8,82,2,5,0,17,1,0.0,289.32386439827354
